komentar,sentimen
Kontennya cocok buat yang lagi cari info.,Positif
Tolong buat konten tentang topik ini lagi ya.,Netral
"Saya baru tahu info ini, makasih!",Positif
Kenapa komentarnya dinonaktifkan?,Netral
"Saya baru tahu info ini, makasih!",Positif
Kualitas kontennya makin bagus tiap hari.,Netral
"Saya baru tahu info ini, makasih!",Positif
Saya Kecewa,Negatif
Kualitas kontennya makin bagus tiap hari.,Netral
Kurang setuju dengan pendapat ini.,Negatif
Ini kontennya clickbait gak sih?,Netral
Kontennya cocok buat yang lagi cari info.,Positif
"Informasinya sangat bermanfaat, terima kasih!",Positif
buruk,Negatif
Tolong buat konten tentang topik ini lagi ya.,Netral
Kualitas kontennya makin bagus tiap hari.,Netral
"Wow, keren banget!",Positif
Ditunggu konten selanjutnya.,Netral
"Informasinya sangat bermanfaat, terima kasih!",Positif
"Wow, keren banget!",Positif
Kenapa komentarnya dinonaktifkan?,Netral
Saya suka banget kontennya!,Netral
"Informasinya sangat bermanfaat, terima kasih!",Positif
Kurang setuju dengan pendapat ini.,Negatif
Kurang lengkap penjelasannya.,Positif
Biasa aja sih menurut saya.,Negatif
Tolong buat konten tentang topik ini lagi ya.,Netral
Kontennya cocok buat yang lagi cari info.,Positif
Ditunggu konten selanjutnya.,Netral
Kontennya cocok buat yang lagi cari info.,Positif
"Saya baru tahu info ini, makasih!",Positif
"Informasinya sangat bermanfaat, terima kasih!",Positif
Udah share ke temen-temen juga.,Netral
Kontennya cocok buat yang lagi cari info.,Positif
"Saya baru tahu info ini, makasih!",Positif
Nggak relevan sama judulnya.,Positif
Kok bisa gitu ya? Ada yang bisa jelasin?,Netral
Biasa aja sih menurut saya.,Negatif
Kurang setuju dengan pendapat ini.,Negatif
Kurang lengkap penjelasannya.,Positif
Biasa aja sih menurut saya.,Negatif
"Saya baru tahu info ini, makasih!",Positif
Kurang setuju dengan pendapat ini.,Negatif
"Informasinya sangat bermanfaat, terima kasih!",Positif
Biasa aja sih menurut saya.,Negatif
Ada sumber referensinya?,Netral
Boleh dong request topik lain?,Netral
Ini kontennya clickbait gak sih?,Netral
Boleh dong request topik lain?,Netral
Boleh dong request topik lain?,Netral
Kurang lengkap penjelasannya.,Positif
Ada sumber referensinya?,Netral
Kenapa komentarnya dinonaktifkan?,Netral
Biasa aja sih menurut saya.,Negatif
Gak nyangka bakal sebagus ini.,Netral
Boleh dong request topik lain?,Netral
Kualitas kontennya makin bagus tiap hari.,Netral
Udah share ke temen-temen juga.,Netral
Ditunggu konten selanjutnya.,Netral
"Saya baru tahu info ini, makasih!",Positif
"Wow, keren banget!",Positif
Tolong buat konten tentang topik ini lagi ya.,Netral
Kualitas kontennya makin bagus tiap hari.,Netral
Ditunggu konten selanjutnya.,Netral
Gak nyangka bakal sebagus ini.,Netral
Ini kontennya clickbait gak sih?,Netral
Mantap jiwa!,Netral
Kurang lengkap penjelasannya.,Positif
Ini kontennya clickbait gak sih?,Netral
Ada sumber referensinya?,Netral
Ini kontennya clickbait gak sih?,Netral
Udah share ke temen-temen juga.,Netral
"Saya baru tahu info ini, makasih!",Positif
Kok bisa gitu ya? Ada yang bisa jelasin?,Netral
Mantap jiwa!,Netral
Udah share ke temen-temen juga.,Netral
Kenapa komentarnya dinonaktifkan?,Netral
Tolong buat konten tentang topik ini lagi ya.,Netral
Ada sumber referensinya?,Netral
Boleh dong request topik lain?,Netral
Kenapa komentarnya dinonaktifkan?,Netral
Boleh dong request topik lain?,Netral
"Saya baru tahu info ini, makasih!",Positif
Ditunggu konten selanjutnya.,Netral
Kurang lengkap penjelasannya.,Positif
Gak nyangka bakal sebagus ini.,Netral
Kualitas kontennya makin bagus tiap hari.,Netral
Kenapa komentarnya dinonaktifkan?,Netral
Mantap jiwa!,Netral
Kualitas kontennya makin bagus tiap hari.,Netral
Kurang lengkap penjelasannya.,Positif
"Wow, keren banget!",Positif
Ini kontennya clickbait gak sih?,Netral
"Informasinya sangat bermanfaat, terima kasih!",Positif
Udah share ke temen-temen juga.,Netral
Tolong buat konten tentang topik ini lagi ya.,Netral
Ada sumber referensinya?,Netral
Udah share ke temen-temen juga.,Netral
"Wow, keren banget!",Positif
"Informasinya sangat bermanfaat, terima kasih!",Positif
:D,Netral
